Time series;Closing price;MA;Trend;Trading signal
521;451.4;448.34333333333296;no;0.48161764705882276
522;443.54;449.4626666666664;no;0.0
523;451.7;451.03799999999967;no;0.5
524;446.3;451.7746666666664;no;0.0
525;448.82;452.279333333333;no;0.0
526;459.73;452.861333333333;no;0.5
527;458.15;453.5513333333329;no;0.04450261780104393
528;457.81;453.9846666666663;no;0.3370307167235494
529;461.63;454.133333333333;no;0.5
530;449.91;453.061333333333;no;0.0
531;452.01;451.99533333333295;no;0.0
532;454.92;452.4926666666663;no;0.0
533;456.04;452.895333333333;no;0.1571428571428614
534;455.38;452.9359999999997;no;0.0
535;457.48;453.6546666666664;up;1.0
536;455.56;453.9319999999997;up;1.0
537;453.01;454.5633333333331;no;0.5
538;452.94;454.6459999999997;no;0.5
539;441.63;454.3346666666664;no;0.0
540;441.97;453.87799999999976;no;0.4128256513026096
541;442.84;452.75199999999984;no;0.5
542;437.85;451.39866666666654;down;0.0
543;442.29;450.36399999999986;down;0.0
544;445.31;449.27599999999984;down;0.0
545;448.02;449.1499999999999;down;0.0
546;452.38;449.17466666666655;no;0.0
547;472.68;450.35866666666664;no;0.0
548;521.5;454.72266666666656;no;0.29087452471482855
549;513.85;458.62066666666664;no;0.0
550;527.0;463.2553333333332;up;0.5
551;532.06;468.35533333333314;up;0.5
552;538.65;474.0646666666664;up;0.5
553;538.98;479.8006666666665;up;0.5
554;567.94;488.2213333333331;up;0.5
555;573.87;497.0146666666664;up;0.5056526207605351
556;573.76;505.7426666666664;up;0.5
557;583.49;515.4519999999999;up;1.0
558;576.75;524.4159999999997;up;0.5255847953216389
559;583.24;533.6113333333329;up;1.0
560;576.4;542.1699999999997;up;0.5
561;577.91;550.5386666666665;up;0.5
562;592.13;558.5019999999997;up;0.5
563;667.94;568.2646666666664;up;0.5
564;702.05;580.811333333333;up;1.0
565;685.69;591.3906666666662;up;0.5
566;693.01;602.1206666666665;up;0.5
567;765.6;617.2506666666665;up;1.0
568;746.99;631.1179999999998;up;0.5
569;755.02;643.5899999999998;up;0.8918231611893587
570;760.55;656.035333333333;up;1.0
571;734.99;666.7839999999998;up;1.0
572;668.42;672.4459999999998;no;0.5
573;594.1;673.6026666666662;no;0.0
574;624.69;676.3659999999998;no;0.0
575;656.71;681.7199999999998;no;0.4057175859081725
576;663.24;687.4086666666666;no;0.5
577;628.61;689.8406666666666;no;0.0
578;648.2;688.5246666666666;no;0.5
579;645.39;684.7473333333332;no;0.16908361616784956
580;634.43;681.3299999999998;no;0.0
581;666.84;679.5853333333333;down;0.0
582;677.0;673.6786666666667;no;0.16770996348461142
583;702.48;670.7113333333333;no;0.5
584;664.14;664.6526666666665;no;0.0
585;678.72;659.1973333333333;no;0.5
586;666.58;654.6366666666665;no;0.39650643551352793
587;674.46;655.0393333333333;no;0.5
588;636.39;657.8586666666665;no;0.0
589;664.0;660.4793333333331;no;0.5
590;652.54;660.2013333333331;no;0.5
591;646.55;659.0886666666664;no;0.0
592;647.42;660.3426666666662;no;0.0
593;671.7;661.9093333333329;no;0.5
594;661.5;662.9833333333331;no;0.10874439461883625
595;660.53;664.7233333333331;no;0.0
596;664.99;664.5999999999998;no;0.09211337030191022
597;662.0;663.5999999999998;no;0.0
598;678.23;661.9833333333331;no;0.5
599;673.46;662.6046666666664;no;0.47076023391813043
600;673.86;662.2806666666664;no;0.5
601;667.02;662.3099999999997;no;0.5
602;664.25;661.6293333333333;no;0.5
603;652.95;662.7333333333332;no;0.0
604;653.8;662.0533333333333;no;0.0
605;659.51;662.518;no;0.5
606;654.37;663.0393333333335;no;0.3152492668621697
607;652.22;663.3593333333333;no;0.0
608;655.63;662.288;no;0.3050139275766004
609;653.44;661.7506666666667;no;0.0
610;657.03;661.5173333333332;no;0.5
611;654.37;660.8093333333334;down;0.5
612;620.01;658.0100000000001;down;0.5
613;607.61;653.3020000000001;down;0.5
614;514.98;642.7366666666669;down;0.0
615;565.63;635.5213333333335;down;0.0
616;575.52;629.4213333333336;down;0.0
617;576.64;623.5806666666667;down;0.0
618;588.78;619.3026666666667;down;0.0
619;592.6;615.2226666666667;down;0.5
620;589.46;610.5526666666667;down;0.3629130966952271
621;583.53;605.8300000000003;down;0.0
622;591.7;601.7953333333336;down;0.5
623;587.57;597.2580000000003;down;0.5
624;586.0;592.7620000000003;down;0.5
625;582.11;587.7673333333336;down;0.5
626;567.45;581.9726666666669;down;0.07069846678024193
627;565.79;578.3580000000002;down;0.0
628;577.53;576.352666666667;no;0.5
629;570.47;580.0520000000002;no;0.15833333333333294
630;569.71;580.3240000000004;no;0.0
631;572.11;580.096666666667;no;0.0
632;580.0;580.3206666666671;no;0.14219330855018344
633;578.47;579.6333333333338;no;0.0
634;583.85;579.0500000000004;no;0.5
635;580.71;578.4666666666673;no;0.5
636;577.11;578.0386666666673;no;0.07058823529411844
637;576.99;577.0580000000003;no;0.4592521572387336
638;577.84;576.4093333333337;no;0.5
639;567.41;575.1700000000004;no;0.0
640;573.0;574.562666666667;no;0.20107238605898026
641;571.5;574.832666666667;no;0.08277404921700275
642;575.23;575.4620000000002;no;0.5
643;570.76;575.0106666666669;no;0.0
644;571.6;575.0860000000004;no;0.0
645;572.0;575.238666666667;no;0.0
646;592.5;576.5980000000002;no;0.0
647;604.25;578.214666666667;no;0.04885057471264255
648;603.74;579.8993333333336;no;0.0
649;608.96;581.5733333333336;no;0.0
650;614.39;583.8186666666667;up;0.5
651;625.66;587.0553333333335;up;1.0
652;622.0;590.0560000000003;up;0.9997254255903352
653;622.01;593.0006666666667;up;1.0
654;603.8;595.4266666666667;up;0.5
655;607.0;597.6933333333334;up;0.5
656;607.73;600.1086666666667;up;0.9701492537313487
657;607.89;602.2860000000002;up;1.0
658;605.21;604.5826666666667;up;0.8145161290322753
659;605.9;606.8693333333333;no;0.23484848484848442
660;604.04;609.0053333333333;no;0.0
661;608.0;610.0386666666666;no;0.5
662;607.88;610.2806666666664;no;0.5
663;606.95;610.4946666666666;no;0.5
664;594.66;609.5413333333332;no;0.04137529137528722
665;593.95;608.1786666666667;no;0.0
666;602.53;606.6366666666668;no;0.5
